analytic,cloth_n,sphere_n,frame_index,broad_detect_ms,narrow_phase_ms,physics_total_ms,broad_collisions,narrow_collisions
Off,20,20,0,0.005753,0.00379,97.4422,0,0
Off,20,20,1,0.01504,0.010668,110.098,0,0
Off,20,20,2,0.017959,0.01129,122.248,0,0
Off,20,20,3,0.015586,0.007917,128.996,0,0
Off,20,20,4,0.020788,0.009167,135.406,0,0
Off,20,20,5,0.025916,0.012665,133.591,0,0
Off,20,20,6,0.030875,0.018751,128.452,0,0
Off,20,20,7,0.025836,0.017037,117.897,0,0
Off,20,20,8,0.015999,0.008918,129.263,0,0
Off,20,20,9,0.007124,0.019458,86.9748,0,0
Off,20,20,10,0.008328,0.004497,76.5054,0,0
Off,20,20,11,27.7776,14.711,113.689,21286,4312
Off,20,20,12,36.4056,15.0713,127.698,41600,7865
Off,20,20,13,42.605,28.066,188.888,47203,8569
Off,20,20,14,42.4936,30.0042,197.254,47018,8554
Off,20,20,15,49.0677,41.993,249.216,43034,7052
Off,20,20,16,44.2153,34.1176,203.218,43881,6700
Off,20,20,17,38.1917,20.0218,158.402,51905,8756
Off,20,20,18,40.4404,26.2869,184.638,62416,11121
Off,20,20,19,39.5101,21.9465,173.312,66247,12428
Off,20,20,20,40.7163,26.7077,178.092,65939,12063
Off,20,20,21,38.4076,32.2466,196.349,65815,12241
Off,20,20,22,36.284,23.7087,168.515,66944,12165
Off,20,20,23,37.2226,27.5297,185.176,67894,12240
Off,20,20,24,37.6567,33.2329,190.224,65965,11331
Off,20,20,25,37.5634,27.2153,184.863,63513,10713
Off,20,20,26,37.753,29.7805,194.39,60928,10593
Off,20,20,27,40.7066,36.6628,207.256,58620,10221
Off,20,20,28,30.2272,19.445,132.063,58728,10558
Off,20,20,29,32.4442,22.9477,155.241,59191,10464
Off,20,50,0,0.063457,0.033833,145.182,0,0
Off,20,50,1,0.028043,0.014455,129.237,0,0
Off,20,50,2,0.030289,0.017415,140.615,0,0
Off,20,50,3,0.017375,0.009373,122.525,0,0
Off,20,50,4,0.008707,0.004958,106.678,0,0
Off,20,50,5,0.018912,0.014757,152.318,0,0
Off,20,50,6,0.022502,0.015372,164.204,0,0
Off,20,50,7,0.024506,0.016422,134.456,0,0
Off,20,50,8,0.020623,0.011084,140.32,0,0
Off,20,50,9,0.020083,0.014333,157.086,0,0
Off,20,50,10,0.029501,0.015746,148.885,0,0
Off,20,50,11,46.6635,34.5044,209.163,101829,15665
Off,20,50,12,57.8742,40.5512,256.753,162607,27265
Off,20,50,13,50.7603,35.7433,225.404,174589,29830
Off,20,50,14,52.2751,42.9472,244.392,171744,28826
Off,20,50,15,48.0654,27.7094,185.174,160103,26488
Off,20,50,16,50.8603,29.718,197.794,156669,24867
Off,20,50,17,53.4731,41.8361,250.095,174904,28914
Off,20,50,18,53.8848,39.5144,238.987,211946,35095
Off,20,50,19,49.9292,37.0539,218.735,229395,38860
Off,20,50,20,51.1774,38.4943,227.899,226343,37781
Off,20,50,21,53.9783,42.1535,239.449,219794,36282
Off,20,50,22,49.0314,33.229,219.198,215306,36208
Off,20,50,23,50.1304,42.2327,237.476,211706,35144
Off,20,50,24,44.7822,30.216,184.353,210692,35014
Off,20,50,25,53.2243,40.4791,234.284,205862,34077
Off,20,50,26,41.7319,27.0163,186.401,201956,34314
Off,20,50,27,52.5531,41.344,240.093,205424,34568
Off,20,50,28,45.6555,36.3392,212.764,203460,35368
Off,20,50,29,38.5363,23.3177,161.652,199820,34806
Off,20,100,0,0.024249,0.017956,177.42,0,0
Off,20,100,1,0.017417,0.012625,144.326,0,0
Off,20,100,2,0.024,0.028999,166.685,0,0
Off,20,100,3,0.020584,0.014961,173.037,0,0
Off,20,100,4,0.009372,0.005917,158.149,0,0
Off,20,100,5,0.035328,0.030507,203.225,0,0
Off,20,100,6,0.040375,0.027126,199.77,0,0
Off,20,100,7,0.035206,0.021461,188.628,0,0
