analytic,cloth_n,sphere_n,frame_index,broad_detect_ms,narrow_phase_ms,physics_total_ms,broad_collisions,narrow_collisions
Off,20,20,0,0.005083,0.003165,72.8922,0,0
Off,20,20,1,0.003869,0.002421,70.3739,0,0
Off,20,20,2,0.003044,0.001455,70.1475,0,0
Off,20,20,3,0.00329,0.001746,71.4711,0,0
Off,20,20,4,0.005418,0.004453,75.6792,0,0
Off,20,20,5,0.004579,0.003203,72.7385,0,0
Off,20,20,6,0.004537,0.003126,75.4769,0,0
Off,20,20,7,0.00263,0.001747,68.568,0,0
Off,20,20,8,0.003583,0.003498,72.782,0,0
Off,20,20,9,0.004703,0.003957,78.696,0,0
Off,20,20,10,0.004543,0.003204,74.769,0,0
Off,20,20,11,27.8635,17.2899,120.239,21286,4312
Off,20,20,12,34.9111,14.3393,125.587,41600,7865
Off,20,20,13,32.5366,17.2753,125.131,47203,8569
Off,20,20,14,32.8618,14.6984,124.152,47018,8554
Off,20,20,15,33.8075,14.8454,122.726,43034,7052
Off,20,20,16,31.7223,14.5726,118.346,43881,6700
Off,20,20,17,31.2985,14.528,122.416,51905,8756
Off,20,20,18,31.441,14.5923,119.269,62416,11121
Off,20,20,19,28.3925,14.8051,123.022,66247,12428
Off,20,20,20,31.0552,15.1476,117.595,65939,12063
Off,20,20,21,27.563,13.3415,114.071,65815,12241
Off,20,20,22,28.7199,13.6201,113.596,66944,12165
Off,20,20,23,27.9883,13.7586,118.931,67894,12240
Off,20,20,24,28.32,14.122,120.616,65965,11331
Off,20,20,25,29.7279,13.9458,117.882,63513,10713
Off,20,20,26,28.6291,17.0218,120.674,60928,10593
Off,20,20,27,27.6935,14.3578,122.031,58620,10221
Off,20,20,28,29.5454,14.5683,122.114,58728,10558
Off,20,20,29,28.5687,15.7579,123.625,59191,10464
Off,20,50,0,0.004336,0.002709,78.0852,0,0
Off,20,50,1,0.0035,0.002544,75.7269,0,0
Off,20,50,2,0.002787,0.002295,74.398,0,0
Off,20,50,3,0.003207,0.002089,78.9751,0,0
Off,20,50,4,0.005542,0.003122,81.5699,0,0
Off,20,50,5,0.004123,0.002623,81.3925,0,0
Off,20,50,6,0.004661,0.002997,84.1338,0,0
Off,20,50,7,0.004201,0.001877,81.8748,0,0
Off,20,50,8,0.004004,0.003748,87.7183,0,0
Off,20,50,9,0.004583,0.003084,87.1591,0,0
Off,20,50,10,0.004375,0.003129,78.6148,0,0
Off,20,50,11,39.3365,16.5417,132.462,101829,15665
Off,20,50,12,44.0217,16.995,140.6,162607,27265
Off,20,50,13,42.2585,21.4043,145.195,174589,29830
Off,20,50,14,43.634,19.0125,153.569,171744,28826
Off,20,50,15,48.3672,21.2743,162.124,160103,26488
Off,20,50,16,44.5071,24.5648,159.53,156669,24867
Off,20,50,17,41.8419,19.1159,141.161,174904,28914
Off,20,50,18,42.2954,16.7589,141.072,211946,35095
Off,20,50,19,40.2578,16.6526,142.986,229395,38860
Off,20,50,20,40.5048,16.9016,141.32,226343,37781
Off,20,50,21,39.9516,18.8363,147.172,219794,36282
Off,20,50,22,41.3914,20.4872,140.634,215306,36208
Off,20,50,23,38.7404,19.0769,137.202,211706,35144
Off,20,50,24,40.3941,17.0855,138.174,210692,35014
Off,20,50,25,37.916,17.1537,135.534,205862,34077
Off,20,50,26,38.296,21.3072,141.935,201956,34314
Off,20,50,27,39.0055,19.0683,141.024,205424,34568
Off,20,50,28,38.5106,18.8965,140.157,203460,35368
Off,20,50,29,37.1956,20.7611,138.506,199820,34806
Off,20,100,0,0.003207,0.002873,99.7006,0,0
Off,20,100,1,0.007209,0.006287,100.547,0,0
Off,20,100,2,0.004374,0.003795,100.179,0,0
Off,20,100,3,0.007461,0.007542,103.704,0,0
Off,20,100,4,0.004329,0.004626,105.614,0,0
Off,20,100,5,0.003874,0.003086,104.361,0,0
Off,20,100,6,0.005165,0.003333,107.284,0,0
Off,20,100,7,0.004005,0.004084,110.41,0,0
Off,20,100,8,0.005205,0.004123,104.624,0,0
Off,20,100,9,0.005624,0.005002,107.91,0,0
Off,20,100,10,0.005416,0.004419,101.082,0,0
Off,20,100,11,58.3643,29.4748,185.952,355578,58586
Off,20,100,12,65.5149,31.9533,203.466,569547,96572
Off,20,100,13,67.5186,30.5431,199.205,606215,104358
Off,20,100,14,65.4773,27.6266,193.022,602706,104017
Off,20,100,15,65.1597,31.3821,203.178,553992,94913
Off,20,100,16,66.4062,32.785,205.045,546268,90284
Off,20,100,17,65.8652,34.1635,214.132,600030,103421
Off,20,100,18,68.0445,31.2937,213.001,728529,124250
Off,20,100,19,65.279,28.8706,208.132,781349,132878
Off,20,100,20,67.5176,35.5929,218.254,768645,132357
Off,20,100,21,52.767,50.0134,247.993,727431,123256
Off,20,100,22,67.4654,70.8801,376.288,719684,119872
Off,20,100,23,33.6895,21.2554,136.337,736185,120458
Off,20,100,24,46.5442,21.5903,151.728,695008,113437
Off,20,100,25,63.0431,29.2073,194.437,670013,109958
Off,20,100,26,65.5494,32.2677,271.338,643194,106664
Off,20,100,27,65.0811,35.3019,204.938,654086,109860
Off,20,100,28,63.4732,31.1957,208.547,642840,109084
Off,20,100,29,62.261,32.9672,205.278,625025,106883
Off,50,20,0,0.003746,0.001707,80.6003,0,0
Off,50,20,1,0.002629,0.001456,80.3123,0,0
Off,50,20,2,0.003211,0.002627,84.1685,0,0
Off,50,20,3,0.00312,0.001877,81.3629,0,0
Off,50,20,4,0.011085,0.009372,157.801,0,0
Off,50,20,5,0.01225,0.008707,92.7144,0,0
Off,50,20,6,0.015708,0.008083,83.8507,0,0
Off,50,20,7,0.00442,0.003626,70.0692,0,0
Off,50,20,8,0.004838,0.003117,77.3528,0,0
Off,50,20,9,0.002709,0.001501,83.4672,0,0
Off,50,20,10,0.006045,0.004244,92.3282,0,0
Off,50,20,11,47.1238,17.0604,150.675,122776,17198
Off,50,20,12,52.2412,21.3681,159.336,223298,35391
Off,50,20,13,57.9954,22.7525,168.012,307859,52936
Off,50,20,14,59.808,30.6627,205.43,363125,66967
Off,50,20,15,65.6762,25.5107,189.167,444649,83953
Off,50,20,16,67.795,30.0632,204.09,527484,103744
Off,50,20,17,65.1004,38.2658,234.921,557954,111453
Off,50,20,18,65.5415,34.8102,231.724,576057,114481
Off,50,20,19,51.6658,21.1762,161.839,563960,115324
Off,50,20,20,46.2666,21.9503,159.683,539911,109919
Off,50,20,21,48.3616,26.3958,170.931,533491,105367
Off,50,20,22,54.0515,30.252,197.799,536750,103153
Off,50,20,23,52.8689,37.3469,226.974,537141,102767
Off,50,20,24,54.1413,33.268,209.653,539926,105026
Off,50,20,25,49.0984,22.9789,174.991,543970,108696
Off,50,20,26,43.8623,21.338,156.899,545603,110570
Off,50,20,27,42.944,21.0054,154.398,553995,112856
Off,50,20,28,45.0605,28.8991,174.846,564865,115048
Off,50,20,29,54.5327,49.9452,197.283,566120,115998
Off,50,50,0,0.018538,0.01671,93.5976,0,0
Off,50,50,1,0.008881,0.00683,103.582,0,0
Off,50,50,2,0.006747,0.004043,97.8961,0,0
Off,50,50,3,0.009661,0.006791,102.956,0,0
Off,50,50,4,0.010288,0.00729,112.403,0,0
Off,50,50,5,0.011124,0.008374,99.3732,0,0
Off,50,50,6,0.016461,0.011087,94.7654,0,0
Off,50,50,7,0.019957,0.009288,103.248,0,0
Off,50,50,8,0.013373,0.01046,132.699,0,0
Off,50,50,9,0.017125,0.012125,104.683,0,0
Off,50,50,10,0.010044,0.007839,95.035,0,0
Off,50,50,11,64.7609,24.3719,182.377,375099,28185
Off,50,50,12,79.4479,34.3156,238.171,656018,55280
Off,50,50,13,86.6395,45.4112,271.241,863714,78057
Off,50,50,14,82.7133,28.8454,229.805,1005024,96784
Off,50,50,15,81.8156,26.8357,212.038,1197027,119077
Off,50,50,16,88.359,36.822,254.336,1373906,142548
Off,50,50,17,94.5471,40.1882,252.984,1429500,149398
Off,50,50,18,84.8526,29.9482,221.904,1409566,154824
Off,50,50,19,71.3873,36.0137,220.367,1363596,155108
Off,50,50,20,81.9827,41.7417,250.317,1293080,145612
Off,50,50,21,71.7148,34.3494,221.111,1243703,137430
Off,50,50,22,76.3318,39.4958,233.218,1238241,135635
Off,50,50,23,74.3754,31.5799,219.702,1267645,139025
Off,50,50,24,76.3147,26.7022,206.941,1311016,141148
Off,50,50,25,80.2515,42.7772,270.767,1338429,142678
Off,50,50,26,83.8068,42.5056,278.255,1363080,144597
Off,50,50,27,77.712,36.7483,247.851,1392850,147230
Off,50,50,28,72.173,28.9638,196.019,1418854,149249
Off,50,50,29,79.2755,37.0372,248.301,1428729,150324
Off,50,100,0,0.010411,0.008208,177.279,0,0
Off,50,100,1,0.008707,0.006831,159.792,0,0
Off,50,100,2,0.007373,0.004959,126.38,0,0
Off,50,100,3,0.003918,0.002581,118.346,0,0
Off,50,100,4,0.004745,0.003333,120.703,0,0
Off,50,100,5,0.003874,0.002505,116.22,0,0
Off,50,100,6,0.00542,0.002165,112.791,0,0
Off,50,100,7,0.008627,0.00554,131.375,0,0
Off,50,100,8,0.003797,0.002332,115.388,0,0
Off,50,100,9,0.006457,0.005831,117.462,0,0
Off,50,100,10,0.004375,0.003924,106.388,0,0
Off,50,100,11,109.601,25.5194,248.156,1165905,70251
Off,50,100,12,135.793,54.3399,373.254,2013953,125277
Off,50,100,13,136.928,55.2239,366.081,2597413,169244
Off,50,100,14,136.071,51.4181,333.255,2983633,202120
Off,50,100,15,139.057,61.1155,361.994,3513901,240442
Off,50,100,16,136.658,52.4197,358.861,3979147,278572
Off,50,100,17,139.72,45.3628,321.696,4094150,289056
Off,50,100,18,139.65,53.4445,365.196,3932150,290224
Off,50,100,19,118.043,48.4096,308.265,3703142,285663
Off,50,100,20,115.588,40.5165,283.772,3501984,269233
Off,50,100,21,121.799,64.0173,351.491,3392544,260814
Off,50,100,22,119.413,63.8525,338.419,3432560,260158
Off,50,100,23,124.106,56.1019,309.615,3532211,260010
Off,50,100,24,117.657,50.9337,299.403,3630340,268468
Off,50,100,25,114.838,43.7817,283.539,3802070,282458
Off,50,100,26,117.211,36.6926,270.353,4005598,288695
Off,50,100,27,130.856,57.077,360.161,4173646,293362
Off,50,100,28,121.001,45.4918,301.134,4254483,295168
Off,50,100,29,121.653,44.5076,308.981,4274225,297789
Off,100,20,0,0.004133,0.002457,111.086,0,0
Off,100,20,1,0.00417,0.001912,112.72,0,0
Off,100,20,2,0.004994,0.002503,116.166,0,0
Off,100,20,3,0.00659,0.003458,113.299,0,0
Off,100,20,4,0.004042,0.001873,113.946,0,0
Off,100,20,5,0.005421,0.003667,109.761,0,0
Off,100,20,6,0.003789,0.001752,104.444,0,0
Off,100,20,7,0.003872,0.001956,102.639,0,0
Off,100,20,8,0.003411,0.001417,106.158,0,0
Off,100,20,9,0.003627,0.001916,105.297,0,0
Off,100,20,10,0.00375,0.001877,93.3067,0,0
