frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,mesh_upload,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,render_total,scene_draw,debug_draw,imgui_draw
0,45.0175,240.312,4.16126,0,0,0.03175,236.632,2.31271,98.7963,133.538,0.037542,0.020961,1.20371,0.19875,3.24863,3.23362,0.001458,0.0865
1,45.2602,136.25,7.33942,0,0,0.027708,133.073,0,58.849,73.4364,0.00291,0.001666,0.295622,0.196292,2.77875,2.76383,0.002,0.084833
2,45.3979,130.532,7.66098,0,0,0.02875,127.281,0,58.6952,67.7922,0.003747,0.00221,0.298545,0.192542,2.83421,2.8165,0.002208,0.072875
3,45.5367,118.137,8.46476,0,0,0.043292,114.813,0,55.8013,58.2967,0.002662,0.001502,0.243957,0.190042,2.90554,2.88892,0.002042,0.069625
4,45.6589,116.438,8.58828,0,0,0.034708,113.356,0,56.5576,56.1101,0.002288,0.001546,0.222419,0.192541,2.70729,2.68833,0.002584,0.060625
5,45.7766,116.542,8.58056,0,0,0.030875,113.498,0,58.3687,54.4076,0.002337,0.001001,0.246457,0.192042,2.66175,2.65033,0.001542,0.054542
6,45.8937,116.766,8.56416,0,0,0.025834,113.733,0,57.2855,55.7548,0.002374,0.001338,0.226789,0.190792,2.69646,2.68692,0.00125,0.053375
7,46.0118,151.8,6.58763,37866,419,0.030167,148.392,0,59.6792,55.4595,15.3478,17.2343,0.191877,0.196084,3.00212,2.62988,0.362792,0.083833
8,46.1648,160.286,6.23885,54524,444,0.030042,157.205,0,56.843,54.597,22.7022,22.4054,0.168088,0.197542,2.67954,2.65437,0.01175,0.056583
9,46.3262,162.544,6.15217,59363,552,0.044459,159.456,0,56.4526,57.6548,21.8032,22.8779,0.169163,0.201625,2.6485,2.61762,0.009417,0.066292
10,46.4903,166.53,6.00491,61673,761,0.036292,163.429,0.851334,56.434,60.7135,21.59,23.1871,0.168582,0.192166,2.67917,2.65542,0.008333,0.067125
11,46.6583,163.652,6.11054,61834,722,0.033041,160.582,0,57.2262,58.9695,21.3623,22.3806,0.163251,0.196584,2.66662,2.64288,0.013375,0.060333
12,46.8232,161.338,6.19816,62605,689,0.028125,158.284,0,58.8373,54.9918,21.3873,22.4048,0.163042,0.19825,2.66246,2.64371,0.009458,0.056916
13,46.9855,169.784,5.88984,67486,753,0.048875,166.459,0,55.3588,65.4425,21.8403,23.1194,0.202081,0.196042,2.81683,2.77608,0.017833,0.082291
14,47.1583,172.25,5.8055,72739,883,0.031333,169.17,0,57.5963,66.5945,22.0498,22.267,0.166833,0.199208,2.67121,2.64092,0.014083,0.069125
15,47.3389,166.467,6.00721,76025,756,0.044583,163.321,0,57.7098,60.501,22.1484,22.3104,0.168459,0.199333,2.71263,2.67879,0.012166,0.074125
16,47.5068,163.026,6.134,79965,823,0.037583,159.847,0,56.6275,57.7217,21.7812,23.0494,0.173456,0.200875,2.70842,2.67088,0.014958,0.078959
17,47.6715,161.251,6.20153,84293,893,0.03075,158.132,0,59.4058,54.0013,21.8756,22.2037,0.164124,0.1975,2.72404,2.70021,0.007208,0.061167
18,47.8339,166.232,6.0157,99170,922,0.029333,163.178,0,57.1747,58.8083,22.1502,24.3854,0.16325,0.199042,2.66233,2.64113,0.008875,0.060042
19,48.0012,170.37,5.86959,245673,2423,0.029792,167.316,0,57.213,59.8653,26.3535,23.2212,0.166999,0.200375,2.66113,2.64221,0.008833,0.062708
20,48.1727,188.389,5.30816,434911,4180,0.033792,185.35,0.795667,56.9527,64.7973,36.6545,25.4985,0.165333,0.192292,2.63858,2.62217,0.00725,0.057375
21,48.3617,190.672,5.2446,853655,7242,0.035375,187.591,0,57.7835,55.5195,45.4318,28.1795,0.165129,0.199834,2.67112,2.64746,0.010042,0.065209
22,48.5531,196.028,5.10132,1428767,11906,0.036542,192.897,0,60.1249,55.1596,49.6582,27.2773,0.166787,0.201375,2.67783,2.651,0.010334,0.072292
23,48.7506,182.83,5.46955,1580824,15102,0.035834,179.722,0,59.2129,54.1555,37.8258,27.8735,0.16337,0.196917,2.72267,2.70083,0.012875,0.065458
24,48.9347,187.369,5.33705,1704948,16743,0.0325,184.248,0,61.2964,54.9437,39.921,27.4127,0.167375,0.199292,2.69425,2.67071,0.010708,0.065833
25,49.1234,188.955,5.29226,1794070,19887,0.03175,185.892,0,59.3331,54.9084,43.1921,27.7851,0.165539,0.199792,2.65429,2.63512,0.00975,0.057667
26,49.3193,193.513,5.1676,1777628,19342,0.044667,190.335,0,58.953,60.4436,42.6272,27.64,0.174872,0.198,2.73367,2.70133,0.014125,0.077084
27,49.5212,214.191,4.66874,2127456,20272,0.052458,211.017,0,58.3163,59.1111,63.1026,29.8102,0.176327,0.196375,2.70767,2.67362,0.016958,0.082458
28,49.737,192.037,5.20733,1580781,16131,0.032041,188.896,0,56.6455,54.2424,48.2723,29.0834,0.163002,0.192667,2.74092,2.71563,0.013458,0.066167
