frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,mesh_upload,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,render_total,scene_draw,debug_draw,imgui_draw
0,12.4978,246.659,4.05418,0,0,0.044459,242.954,2.41521,102.982,135.654,0.041131,0.016746,1.16921,0.19775,3.15604,3.13492,0.002708,0.109583
1,12.747,124.38,8.03985,0,0,0.03425,121.239,0,59.3351,61.1305,0.003707,0.002337,0.291667,0.191958,2.7015,2.67621,0.002125,0.088083
2,12.8732,126.193,7.92439,0,0,0.025708,123.164,0,60.5505,61.817,0.003004,0.001336,0.279746,0.226042,2.65154,2.63792,0.002458,0.070833
3,13.0007,124.822,8.01138,0,0,0.033084,121.733,0,59.7392,61.2982,0.002544,0.001374,0.220001,0.189042,2.64417,2.63125,0.0015,0.071625
4,13.1262,121.579,8.22508,0,0,0.041834,118.274,0,57.2721,60.264,0.002453,0.001668,0.249461,0.193625,2.86471,2.84754,0.001875,0.068167
5,13.2485,122.314,8.17569,0,0,0.042333,119.199,0,57.3785,61.0785,0.002997,0.001422,0.247791,0.192125,2.65313,2.63729,0.0025,0.075458
6,13.3724,121.056,8.26067,0,0,0.0315,118.023,0,59.2097,58.0792,0.002582,0.001208,0.254876,0.192334,2.64117,2.62754,0.001416,0.063791
7,13.499,150.63,6.6388,37873,423,0.034,147.148,0,58.5935,55.736,15.22,16.9354,0.186624,0.19375,3.05908,2.6775,0.366416,0.087125
8,13.6509,163.379,6.12074,54921,453,0.049708,160.195,0,56.8082,58.5353,21.4899,22.6835,0.182501,0.192125,2.69946,2.65792,0.016,0.074583
9,13.8158,164.616,6.07476,59031,559,0.047375,161.534,0,56.9896,57.1971,24.1875,22.5082,0.170835,0.20025,2.64779,2.61629,0.009708,0.069666
10,13.982,164.248,6.08837,61012,781,0.047417,161.109,0.720625,56.5067,56.7767,21.5381,24.9272,0.172082,0.186958,2.71212,2.67454,0.016208,0.074333
11,14.1482,167.552,5.96828,62660,746,0.047208,164.424,0,56.8465,58.4111,23.9037,24.5893,0.176878,0.199166,2.66487,2.63512,0.012625,0.075375
12,14.3172,161.581,6.18884,63519,710,0.040291,158.438,0,56.9691,55.0652,23.402,22.3464,0.169043,0.197875,2.64292,2.61233,0.012292,0.071
13,14.4803,173.791,5.75405,66982,810,0.050625,170.589,0,55.991,69.0962,22.0088,22.8025,0.204296,0.198709,2.72571,2.69175,0.011125,0.080375
14,14.6558,175.219,5.70714,71717,934,0.040166,172.027,0,56.9902,67.1315,24.6142,22.6294,0.171038,0.19825,2.72933,2.68683,0.016,0.076167
15,14.8326,166.407,6.00936,77066,725,0.0325,163.373,0,59.68,58.1129,22.0789,22.8512,0.166914,0.198291,2.62417,2.59792,0.012,0.060958
16,15.0001,169.456,5.90122,83342,865,0.047459,166.298,0,57.3453,63.7791,21.9845,22.519,0.169627,0.197958,2.68275,2.65275,0.013,0.078916
17,15.1711,163.685,6.10929,83119,912,0.044291,160.5,0,57.7746,57.967,21.6727,22.4321,0.170751,0.1985,2.68929,2.65379,0.017208,0.093
18,15.3365,165.198,6.05335,94731,891,0.035542,162.102,0,60.2074,56.7965,21.8658,22.5794,0.172167,0.197417,2.67575,2.65133,0.01175,0.07025
19,15.5029,172.061,5.8119,212588,2038,0.035208,169.007,0,59.4106,54.9537,29.9475,24.0193,0.175706,0.200542,2.64021,2.62054,0.007792,0.0605
20,15.6755,179.589,5.56826,509591,4814,0.046166,176.451,1.05083,56.9876,56.0235,34.0609,27.6647,0.172455,0.20225,2.68846,2.65896,0.010459,0.085
21,15.8559,195.145,5.1244,874249,7247,0.03125,192.021,0,60.0721,55.6195,48.92,26.739,0.166381,0.19525,2.69017,2.67304,0.007792,0.065917
22,16.0525,195.015,5.12782,1492740,12050,0.045,191.922,0,59.3725,55.1342,49.6674,27.0858,0.172462,0.196042,2.65708,2.62817,0.011916,0.076292
23,16.2491,187.837,5.32377,1563698,14129,0.037084,184.699,0,59.6596,56.0601,40.5655,27.7517,0.170629,0.198541,2.71092,2.68425,0.0115,0.075125
24,16.4386,188.308,5.31044,1713003,16683,0.032125,185.18,0,57.4875,54.482,43.1783,29.3758,0.166293,0.1995,2.74379,2.72342,0.01,0.065
25,16.6322,191.97,5.20913,1927553,19673,0.047459,188.858,0,56.7114,58.8501,44.9032,27.7246,0.177373,0.19475,2.66842,2.64167,0.010833,0.073958
26,16.8258,191.724,5.21582,2013669,19626,0.039292,188.574,0,57.111,58.9673,44.2342,27.599,0.167037,0.197,2.73088,2.70271,0.014125,0.074333
27,17.02,189.047,5.28968,1809220,16998,0.03825,185.918,0,56.8022,57.5601,41.6956,29.1916,0.170707,0.199458,2.69133,2.65667,0.016583,0.07775
28,17.2098,187.332,5.33813,1363722,12889,0.041375,184.223,0,58.4417,56.6665,41.2532,27.1771,0.174791,0.198417,2.641,2.61292,0.013292,0.072125
