case,particle_count,frame_index,bvh_build_ms,broad_refit_ms
RefitON_Karras,1024,0,0,40.4837
RefitON_Karras,1024,1,0,53.058
RefitON_Karras,1024,2,0,54.4509
RefitON_Karras,1024,3,0,54.169
RefitON_Karras,1024,4,0,50.4332
RefitON_Karras,1024,5,0,50.7323
RefitON_Karras,1024,6,0,64.0099
RefitON_Karras,1024,7,0,59.3822
RefitON_Karras,1024,8,0,51.1684
RefitON_Karras,1024,9,1.97529,57.8181
RefitON_Karras,1024,10,0,58.3489
RefitON_Karras,1024,11,0,56.0785
RefitON_Karras,1024,12,0,59.5221
RefitON_Karras,1024,13,0,57.2909
RefitON_Karras,1024,14,0,53.7723
RefitON_Karras,1024,15,0,61.5066
RefitON_Karras,1024,16,0,48.8241
RefitON_Karras,1024,17,0,37.2845
RefitON_Karras,1024,18,0,38.7537
RefitON_Karras,1024,19,1.83833,46.2804
RefitON_Karras,1024,20,0,57.0625
RefitON_Karras,1024,21,0,62.1651
RefitON_Karras,1024,22,0,59.3206
RefitON_Karras,1024,23,0,61.0861
RefitON_Karras,1024,24,0,57.4695
RefitON_Karras,1024,25,0,58.3578
RefitON_Karras,1024,26,0,51.838
RefitON_Karras,1024,27,0,59.0367
RefitON_Karras,1024,28,0,61.379
RefitON_Karras,1024,29,1.96138,53.377
RefitON_Karras,10000,0,0,69.2887
RefitON_Karras,10000,1,0,44.6024
RefitON_Karras,10000,2,0,50.1079
RefitON_Karras,10000,3,0,48.8992
RefitON_Karras,10000,4,0,56.5356
RefitON_Karras,10000,5,0,68.9008
RefitON_Karras,10000,6,0,65.9079
RefitON_Karras,10000,7,0,64.0083
RefitON_Karras,10000,8,0,59.7275
RefitON_Karras,10000,9,1.60096,32.1313
RefitON_Karras,10000,10,0,30.1065
RefitON_Karras,10000,11,0,29.6478
RefitON_Karras,10000,12,0,28.9693
RefitON_Karras,10000,13,0,31.8265
RefitON_Karras,10000,14,0,30.652
RefitON_Karras,10000,15,0,29.4867
RefitON_Karras,10000,16,0,35.8996
RefitON_Karras,10000,17,0,37.2364
RefitON_Karras,10000,18,0,31.385
RefitON_Karras,10000,19,0.912792,33.7179
RefitON_Karras,10000,20,0,34.0032
RefitON_Karras,10000,21,0,30.8529
RefitON_Karras,10000,22,0,32.1772
RefitON_Karras,10000,23,0,30.2209
RefitON_Karras,10000,24,0,31.8835
RefitON_Karras,10000,25,0,29.7066
RefitON_Karras,10000,26,0,29.6922
RefitON_Karras,10000,27,0,30.2897
RefitON_Karras,10000,28,0,29.293
RefitON_Karras,10000,29,0.998875,29.8575
RefitON_Karras,99856,0,0,88.3507
RefitON_Karras,99856,1,0,72.7981
RefitON_Karras,99856,2,0,72.1131
RefitON_Karras,99856,3,0,79.6159
RefitON_Karras,99856,4,0,70.7156
RefitON_Karras,99856,5,0,71.1459
RefitON_Karras,99856,6,0,70.5811
RefitON_Karras,99856,7,0,70.9956
RefitON_Karras,99856,8,0,72.6037
RefitON_Karras,99856,9,4.57025,68.9925
RefitON_Karras,99856,10,0,72.21
RefitON_Karras,99856,11,0,72.6863
RefitON_Karras,99856,12,0,69.78
RefitON_Karras,99856,13,0,69.8745
RefitON_Karras,99856,14,0,70.3071
RefitON_Karras,99856,15,0,70.58
RefitON_Karras,99856,16,0,69.2338
RefitON_Karras,99856,17,0,71.8435
RefitON_Karras,99856,18,0,70.8051
RefitON_Karras,99856,19,4.60008,78.2233
RefitON_Karras,99856,20,0,78.8519
RefitON_Karras,99856,21,0,73.4271
RefitON_Karras,99856,22,0,70.3292
RefitON_Karras,99856,23,0,70.8363
RefitON_Karras,99856,24,0,70.682
RefitON_Karras,99856,25,0,72.9632
RefitON_Karras,99856,26,0,72.0759
RefitON_Karras,99856,27,0,69.8325
RefitON_Karras,99856,28,0,70.0613
RefitON_Karras,99856,29,4.61775,69.8958
RefitON_Karras,499849,0,0,297.47
RefitON_Karras,499849,1,0,283.682
RefitON_Karras,499849,2,0,286.898
RefitON_Karras,499849,3,0,297.154
RefitON_Karras,499849,4,0,299.515
RefitON_Karras,499849,5,0,294.271
RefitON_Karras,499849,6,0,297.24
RefitON_Karras,499849,7,0,294.388
RefitON_Karras,499849,8,0,301.423
RefitON_Karras,499849,9,30.3852,270.764
RefitON_Karras,499849,10,0,286.81
RefitON_Karras,499849,11,0,280.985
RefitON_Karras,499849,12,0,283.281
RefitON_Karras,499849,13,0,280.575
RefitON_Karras,499849,14,0,281.341
RefitON_Karras,499849,15,0,273.114
RefitON_Karras,499849,16,0,274.955
RefitON_Karras,499849,17,0,282.67
RefitON_Karras,499849,18,0,281.708
RefitON_Karras,499849,19,34.148,265.866
RefitON_Karras,499849,20,0,273.168
RefitON_Karras,499849,21,0,289.82
RefitON_Karras,499849,22,0,285.762
RefitON_Karras,499849,23,0,281.378
RefitON_Karras,499849,24,0,277.742
RefitON_Karras,499849,25,0,291.835
RefitON_Karras,499849,26,0,277.14
RefitON_Karras,499849,27,0,280.023
RefitON_Karras,499849,28,0,288.21
RefitON_Karras,499849,29,28.3683,280.521
RebuildKarras,1024,0,0,44.9952
RebuildKarras,1024,1,0,43.6799
RebuildKarras,1024,2,0,43.5624
RebuildKarras,1024,3,0,43.1458
RebuildKarras,1024,4,0,43.2217
RebuildKarras,1024,5,0,44.0913
RebuildKarras,1024,6,0,43.2684
RebuildKarras,1024,7,0,45.6201
RebuildKarras,1024,8,0,42.8763
RebuildKarras,1024,9,0.759625,43.221
RebuildKarras,1024,10,0,45.4974
RebuildKarras,1024,11,0,43.3489
RebuildKarras,1024,12,0,43.1315
RebuildKarras,1024,13,0,45.4435
RebuildKarras,1024,14,0,43.3786
RebuildKarras,1024,15,0,43.2955
RebuildKarras,1024,16,0,45.7353
RebuildKarras,1024,17,0,42.4916
RebuildKarras,1024,18,0,43.4155
RebuildKarras,1024,19,0.697083,45.4163
RebuildKarras,1024,20,0,43.5978
RebuildKarras,1024,21,0,43.5712
RebuildKarras,1024,22,0,42.9956
RebuildKarras,1024,23,0,44.6635
RebuildKarras,1024,24,0,43.785
RebuildKarras,1024,25,0,43.1554
RebuildKarras,1024,26,0,44.3305
RebuildKarras,1024,27,0,42.8403
RebuildKarras,1024,28,0,42.9566
RebuildKarras,1024,29,0.70475,50.2675
RebuildKarras,10000,0,0,59.7612
RebuildKarras,10000,1,0,59.6989
RebuildKarras,10000,2,0,66.5229
RebuildKarras,10000,3,0,59.9563
RebuildKarras,10000,4,0,66.1138
RebuildKarras,10000,5,0,57.338
RebuildKarras,10000,6,0,59.4202
RebuildKarras,10000,7,0,82.5022
RebuildKarras,10000,8,0,82.0312
RebuildKarras,10000,9,0.994667,71.4381
RebuildKarras,10000,10,0,71.8378
RebuildKarras,10000,11,0,72.0964
RebuildKarras,10000,12,0,66.8727
RebuildKarras,10000,13,0,61.8883
RebuildKarras,10000,14,0,62.8199
RebuildKarras,10000,15,0,60.0838
RebuildKarras,10000,16,0,63.522
RebuildKarras,10000,17,0,60.3338
RebuildKarras,10000,18,0,61.1343
RebuildKarras,10000,19,1.01071,60.3717
RebuildKarras,10000,20,0,66.4907
RebuildKarras,10000,21,0,69.5602
RebuildKarras,10000,22,0,62.2617
RebuildKarras,10000,23,0,59.3832
RebuildKarras,10000,24,0,66.3594
RebuildKarras,10000,25,0,60.2365
RebuildKarras,10000,26,0,62.5725
RebuildKarras,10000,27,0,59.5248
RebuildKarras,10000,28,0,62.0623
RebuildKarras,10000,29,0.998458,59.9786
RebuildKarras,99856,0,0,282.761
RebuildKarras,99856,1,0,274.053
RebuildKarras,99856,2,0,278.231
RebuildKarras,99856,3,0,272.329
RebuildKarras,99856,4,0,278.614
RebuildKarras,99856,5,0,279.039
RebuildKarras,99856,6,0,274.31
RebuildKarras,99856,7,0,279.019
RebuildKarras,99856,8,0,276.63
RebuildKarras,99856,9,4.83196,280.569
RebuildKarras,99856,10,0,275.078
RebuildKarras,99856,11,0,277.603
RebuildKarras,99856,12,0,275.674
RebuildKarras,99856,13,0,277.006
RebuildKarras,99856,14,0,277.575
RebuildKarras,99856,15,0,276.97
RebuildKarras,99856,16,0,279.517
RebuildKarras,99856,17,0,275.175
RebuildKarras,99856,18,0,272.675
RebuildKarras,99856,19,4.60371,282.078
RebuildKarras,99856,20,0,280.647
RebuildKarras,99856,21,0,275.586
RebuildKarras,99856,22,0,281.136
RebuildKarras,99856,23,0,279.258
RebuildKarras,99856,24,0,273.901
RebuildKarras,99856,25,0,276.974
RebuildKarras,99856,26,0,451.706
RebuildKarras,99856,27,0,283.299
RebuildKarras,99856,28,0,289.888
RebuildKarras,99856,29,4.52271,326.539
RebuildKarras,499849,0,0,1196.95
RebuildKarras,499849,1,0,1189.41
RebuildKarras,499849,2,0,1199.94
RebuildKarras,499849,3,0,1212.6
RebuildKarras,499849,4,0,1198.45
RebuildKarras,499849,5,0,1190.78
RebuildKarras,499849,6,0,1198.19
RebuildKarras,499849,7,0,1201.46
RebuildKarras,499849,8,0,1191.07
RebuildKarras,499849,9,19.0709,1202.89
RebuildKarras,499849,10,0,1189.61
RebuildKarras,499849,11,0,1187.69
RebuildKarras,499849,12,0,1202.83
RebuildKarras,499849,13,0,1200.67
RebuildKarras,499849,14,0,1191.33
RebuildKarras,499849,15,0,1247.85
RebuildKarras,499849,16,0,1222.08
RebuildKarras,499849,17,0,1202.4
RebuildKarras,499849,18,0,1208.88
RebuildKarras,499849,19,19.0924,1196.54
RebuildKarras,499849,20,0,1187.06
RebuildKarras,499849,21,0,1188.12
RebuildKarras,499849,22,0,1185.34
RebuildKarras,499849,23,0,1202.73
RebuildKarras,499849,24,0,1206.17
RebuildKarras,499849,25,0,1190.9
RebuildKarras,499849,26,0,1190.18
RebuildKarras,499849,27,0,1192.76
RebuildKarras,499849,28,0,1195.01
RebuildKarras,499849,29,19.073,1189.82
RebuildApetrei,1024,0,0,41.9348
RebuildApetrei,1024,1,0,43.9074
RebuildApetrei,1024,2,0,41.1746
RebuildApetrei,1024,3,0,43.3599
RebuildApetrei,1024,4,0,41.1553
RebuildApetrei,1024,5,0,41.3729
RebuildApetrei,1024,6,0,43.8017
RebuildApetrei,1024,7,0,41.6112
RebuildApetrei,1024,8,0,41.3929
RebuildApetrei,1024,9,0.978041,41.1565
RebuildApetrei,1024,10,0,41.2155
RebuildApetrei,1024,11,0,43.2841
RebuildApetrei,1024,12,0,42.7804
RebuildApetrei,1024,13,0,43.888
RebuildApetrei,1024,14,0,43.5805
RebuildApetrei,1024,15,0,43.7817
RebuildApetrei,1024,16,0,42.5659
RebuildApetrei,1024,17,0,43.6521
RebuildApetrei,1024,18,0,46.11
RebuildApetrei,1024,19,0.8575,43.733
RebuildApetrei,1024,20,0,43.5601
RebuildApetrei,1024,21,0,45.5003
RebuildApetrei,1024,22,0,42.1828
RebuildApetrei,1024,23,0,44.6456
RebuildApetrei,1024,24,0,43.0311
RebuildApetrei,1024,25,0,45.0625
RebuildApetrei,1024,26,0,43.455
RebuildApetrei,1024,27,0,43.7098
RebuildApetrei,1024,28,0,46.7324
RebuildApetrei,1024,29,0.7075,43.2806
RebuildApetrei,10000,0,0,61.6642
RebuildApetrei,10000,1,0,62.3369
RebuildApetrei,10000,2,0,61.1782
RebuildApetrei,10000,3,0,60.3666
RebuildApetrei,10000,4,0,60.6266
RebuildApetrei,10000,5,0,60.7764
RebuildApetrei,10000,6,0,61.0616
RebuildApetrei,10000,7,0,63.3753
RebuildApetrei,10000,8,0,60.4158
RebuildApetrei,10000,9,0.9255,60.4872
RebuildApetrei,10000,10,0,63.4572
RebuildApetrei,10000,11,0,60.6648
RebuildApetrei,10000,12,0,59.3213
RebuildApetrei,10000,13,0,61.2265
RebuildApetrei,10000,14,0,60.5875
RebuildApetrei,10000,15,0,61.1765
RebuildApetrei,10000,16,0,63.779
RebuildApetrei,10000,17,0,62.0396
RebuildApetrei,10000,18,0,58.8915
RebuildApetrei,10000,19,1.00313,61.009
RebuildApetrei,10000,20,0,63.16
RebuildApetrei,10000,21,0,58.6155
RebuildApetrei,10000,22,0,62.953
RebuildApetrei,10000,23,0,60.6287
RebuildApetrei,10000,24,0,60.3352
RebuildApetrei,10000,25,0,61.3716
RebuildApetrei,10000,26,0,62.1919
RebuildApetrei,10000,27,0,58.38
RebuildApetrei,10000,28,0,62.9012
RebuildApetrei,10000,29,0.995291,62.2763
RebuildApetrei,99856,0,0,265.658
RebuildApetrei,99856,1,0,269.914
RebuildApetrei,99856,2,0,268.476
RebuildApetrei,99856,3,0,267.083
RebuildApetrei,99856,4,0,269.447
RebuildApetrei,99856,5,0,275.785
RebuildApetrei,99856,6,0,272.531
RebuildApetrei,99856,7,0,268.028
RebuildApetrei,99856,8,0,273.449
RebuildApetrei,99856,9,4.93525,264.706
RebuildApetrei,99856,10,0,272.111
RebuildApetrei,99856,11,0,266.821
RebuildApetrei,99856,12,0,271.131
RebuildApetrei,99856,13,0,271.051
RebuildApetrei,99856,14,0,267.818
RebuildApetrei,99856,15,0,275.249
RebuildApetrei,99856,16,0,269.904
RebuildApetrei,99856,17,0,269.868
RebuildApetrei,99856,18,0,275.95
RebuildApetrei,99856,19,4.53758,273.855
RebuildApetrei,99856,20,0,273.475
RebuildApetrei,99856,21,0,276.755
RebuildApetrei,99856,22,0,270.963
RebuildApetrei,99856,23,0,270.471
RebuildApetrei,99856,24,0,273.746
RebuildApetrei,99856,25,0,277.027
RebuildApetrei,99856,26,0,272.913
