method,particle_count,frame_index,refit_time_ms
FullCPU,1024,0,28.8687
FullCPU,1024,1,36.9405
FullCPU,1024,2,32.5034
FullCPU,1024,3,34.9284
FullCPU,1024,4,37.6097
FullCPU,1024,5,41.9493
FullCPU,1024,6,40.3731
FullCPU,1024,7,43.5435
FullCPU,1024,8,42.9694
FullCPU,1024,9,45.0846
FullCPU,10000,0,43.2297
FullCPU,10000,1,45.7842
FullCPU,10000,2,47.3616
FullCPU,10000,3,43.8192
FullCPU,10000,4,44.4963
FullCPU,10000,5,42.6333
FullCPU,10000,6,44.573
FullCPU,10000,7,47.0274
FullCPU,10000,8,46.2699
FullCPU,10000,9,44.4682
FullCPU,99856,0,169.511
FullCPU,99856,1,178.363
FullCPU,99856,2,179.64
FullCPU,99856,3,177.375
FullCPU,99856,4,182.552
FullCPU,99856,5,176.12
FullCPU,99856,6,168.349
FullCPU,99856,7,171.027
FullCPU,99856,8,166.578
FullCPU,99856,9,177.923
FullCPU,499849,0,738.484
FullCPU,499849,1,720.054
FullCPU,499849,2,709.739
FullCPU,499849,3,712.16
FullCPU,499849,4,719.767
FullCPU,499849,5,749.08
FullCPU,499849,6,746.132
FullCPU,499849,7,723.2
FullCPU,499849,8,741.09
FullCPU,499849,9,752.33
HybridD1,1024,0,26.8598
HybridD1,1024,1,25.1742
HybridD1,1024,2,28.6638
HybridD1,1024,3,25.3443
HybridD1,1024,4,28.837
HybridD1,1024,5,25.9094
HybridD1,1024,6,25.1945
HybridD1,1024,7,28.7203
HybridD1,1024,8,31.5542
HybridD1,1024,9,32.1525
HybridD1,10000,0,42.6874
HybridD1,10000,1,45.6935
HybridD1,10000,2,37.3358
HybridD1,10000,3,36.2688
HybridD1,10000,4,36.4466
HybridD1,10000,5,37.6481
HybridD1,10000,6,33.571
HybridD1,10000,7,33.4577
HybridD1,10000,8,34.4972
HybridD1,10000,9,39.3902
HybridD1,99856,0,180.972
HybridD1,99856,1,188.668
HybridD1,99856,2,177.572
HybridD1,99856,3,183.585
HybridD1,99856,4,182.189
HybridD1,99856,5,220.6
HybridD1,99856,6,211.28
HybridD1,99856,7,191.269
HybridD1,99856,8,182.852
HybridD1,99856,9,174.472
HybridD1,499849,0,774.286
HybridD1,499849,1,779.052
HybridD1,499849,2,749.123
HybridD1,499849,3,773.906
HybridD1,499849,4,742.499
HybridD1,499849,5,787.553
HybridD1,499849,6,833.138
HybridD1,499849,7,843.364
HybridD1,499849,8,815.198
HybridD1,499849,9,784.15
HybridD2,1024,0,32.013
HybridD2,1024,1,25.4827
HybridD2,1024,2,25.3788
HybridD2,1024,3,31.3112
HybridD2,1024,4,29.4371
HybridD2,1024,5,31.9028
HybridD2,1024,6,32.9959
HybridD2,1024,7,33.8139
HybridD2,1024,8,30.1602
HybridD2,1024,9,29.8937
HybridD2,10000,0,42.3545
HybridD2,10000,1,38.4915
HybridD2,10000,2,38.2644
HybridD2,10000,3,45.7682
HybridD2,10000,4,64.0467
HybridD2,10000,5,95.1638
HybridD2,10000,6,67.7251
HybridD2,10000,7,71.0653
HybridD2,10000,8,86.3236
HybridD2,10000,9,61.2792
HybridD2,99856,0,237.602
HybridD2,99856,1,170.477
HybridD2,99856,2,203.785
HybridD2,99856,3,202.024
HybridD2,99856,4,176.796
HybridD2,99856,5,179.731
HybridD2,99856,6,149.94
HybridD2,99856,7,267.16
HybridD2,99856,8,184.771
HybridD2,99856,9,179.62
HybridD2,499849,0,700.959
HybridD2,499849,1,713.395
HybridD2,499849,2,667.225
HybridD2,499849,3,706.682
HybridD2,499849,4,672.037
HybridD2,499849,5,650.404
HybridD2,499849,6,656.152
HybridD2,499849,7,675.594
HybridD2,499849,8,654.677
HybridD2,499849,9,634.928
FullGPU,1024,0,27.4937
FullGPU,1024,1,35.5835
FullGPU,1024,2,27.6829
FullGPU,1024,3,32.7922
FullGPU,1024,4,33.8274
FullGPU,1024,5,44.226
FullGPU,1024,6,38.9558
FullGPU,1024,7,38.4367
FullGPU,1024,8,49.671
FullGPU,1024,9,33.7297
FullGPU,10000,0,30.4662
FullGPU,10000,1,38.9914
FullGPU,10000,2,30.4512
FullGPU,10000,3,37.9288
FullGPU,10000,4,41.8981
FullGPU,10000,5,45.714
FullGPU,10000,6,31.7597
FullGPU,10000,7,66.428
FullGPU,10000,8,37.2006
FullGPU,10000,9,60.6687
FullGPU,99856,0,133.527
FullGPU,99856,1,81.5577
FullGPU,99856,2,85.1004
FullGPU,99856,3,214.404
FullGPU,99856,4,79.188
FullGPU,99856,5,73.224
FullGPU,99856,6,84.065
FullGPU,99856,7,83.7387
FullGPU,99856,8,74.7514
FullGPU,99856,9,69.0662
FullGPU,499849,0,375.815
FullGPU,499849,1,366.02
FullGPU,499849,2,376.125
FullGPU,499849,3,380.203
FullGPU,499849,4,334.394
FullGPU,499849,5,354.015
FullGPU,499849,6,319.862
FullGPU,499849,7,372.216
FullGPU,499849,8,352.049
FullGPU,499849,9,307.073
