query_mode,particle_count,frame_index,broad_detect_ms,broad_collisions,narrow_collisions
Atomic,400,0,0.003626,0,0
Atomic,400,1,0.009959,0,0
Atomic,400,2,0.002417,0,0
Atomic,400,3,0.002828,0,0
Atomic,400,4,0.002667,0,0
Atomic,400,5,0.003043,0,0
Atomic,400,6,0.003417,0,0
Atomic,400,7,0.005209,0,0
Atomic,400,8,0.008417,0,0
Atomic,400,9,0.021249,0,0
Atomic,400,10,0.008251,0,0
Atomic,400,11,14.3095,20956,4556
Atomic,400,12,16.663,34573,6667
Atomic,400,13,17.5402,36411,6573
Atomic,400,14,19.1232,33947,5859
Atomic,400,15,24.8961,36163,5745
Atomic,400,16,24.2837,45857,7419
Atomic,400,17,16.4671,61734,11272
Atomic,400,18,47.978,72932,14231
Atomic,400,19,29.0052,76457,15969
Atomic,400,20,24.5207,76108,15314
Atomic,400,21,22.8436,70587,13848
Atomic,400,22,17.9824,64819,11913
Atomic,400,23,21.26,56305,8629
Atomic,400,24,20.7494,48800,7408
Atomic,400,25,22.8559,45349,7385
Atomic,400,26,20.5115,46553,7887
Atomic,400,27,18.465,48508,8508
Atomic,400,28,19.8412,47368,8191
Atomic,400,29,23.5301,46624,8404
Atomic,2500,0,0.013292,0,0
Atomic,2500,1,0.011414,0,0
Atomic,2500,2,0.003463,0,0
Atomic,2500,3,0.004375,0,0
Atomic,2500,4,0.008923,0,0
Atomic,2500,5,0.006832,0,0
Atomic,2500,6,0.006669,0,0
Atomic,2500,7,0.009002,0,0
Atomic,2500,8,0.006165,0,0
Atomic,2500,9,0.005207,0,0
Atomic,2500,10,0.004837,0,0
Atomic,2500,11,26.4125,372267,28632
Atomic,2500,12,36.0501,612182,55424
Atomic,2500,13,79.9594,720327,70891
Atomic,2500,14,81.3721,827342,85872
Atomic,2500,15,83.2272,963296,109248
Atomic,2500,16,89.5359,1094660,124506
Atomic,2500,17,66.6153,1121741,130082
Atomic,2500,18,84.7923,1081834,127722
Atomic,2500,19,78.3956,1058721,127685
Atomic,2500,20,118.645,1037536,122923
Atomic,2500,21,145.668,977378,114253
Atomic,2500,22,203.866,922378,106727
Atomic,2500,23,121.233,908496,103906
Atomic,2500,24,140.923,917851,103582
Atomic,2500,25,153.657,960511,107630
Atomic,2500,26,84.8635,1012725,111956
Atomic,2500,27,113.611,1049500,116145
Atomic,2500,28,132.814,1064942,120173
Atomic,2500,29,129.291,1085827,124108
Atomic,10000,0,0.071082,0,0
Atomic,10000,1,0.058082,0,0
Atomic,10000,2,0.066793,0,0
Atomic,10000,3,0.074582,0,0
Atomic,10000,4,0.119999,0,0
Atomic,10000,5,0.064961,0,0
Atomic,10000,6,0.084041,0,0
Atomic,10000,7,0.078959,0,0
Atomic,10000,8,0.060124,0,0
Atomic,10000,9,0.100417,0,0
Atomic,10000,10,0.147585,0,0
Atomic,10000,11,120.574,3745789,111912
Atomic,10000,12,145.175,6184302,220821
Atomic,10000,13,133.227,7827703,320607
Atomic,10000,14,136.556,9268068,428524
Atomic,10000,15,133.961,10524034,542627
Atomic,10000,16,111.193,11307695,633437
Atomic,10000,17,123.034,11625487,661015
Atomic,10000,18,122.354,11738017,661199
Atomic,10000,19,113.158,11502419,638092
Atomic,10000,20,125.933,10976425,599793
Atomic,10000,21,119.509,10277338,555407
Atomic,10000,22,121.101,9454496,514235
Atomic,10000,23,106.492,8756178,486681
Atomic,10000,24,119.381,8870927,493664
Atomic,10000,25,104.88,9706274,527330
Atomic,10000,26,108.674,10562190,556361
Atomic,10000,27,121.659,11131187,586577
Atomic,10000,28,119.205,11641867,616846
Atomic,10000,29,120.532,12060299,640326
Segmented,400,0,0.113627,0,0
Segmented,400,1,0.177503,0,0
Segmented,400,2,0.069872,0,0
Segmented,400,3,0.054746,0,0
Segmented,400,4,0.10025,0,0
Segmented,400,5,0.075079,0,0
Segmented,400,6,0.083711,0,0
Segmented,400,7,0.115202,0,0
Segmented,400,8,0.084587,0,0
Segmented,400,9,0.081751,0,0
Segmented,400,10,0.090126,0,0
Segmented,400,11,63.4436,12553,2425
Segmented,400,12,77.5823,21506,3607
Segmented,400,13,76.137,22990,3410
Segmented,400,14,67.7277,21721,3080
Segmented,400,15,71.9242,23154,3220
Segmented,400,16,70.0122,29784,4179
Segmented,400,17,67.2888,39870,6890
Segmented,400,18,69.4993,48352,9307
Segmented,400,19,62.8547,51391,11040
Segmented,400,20,62.6658,51364,10843
Segmented,400,21,60.8961,48050,9562
Segmented,400,22,71.8657,44224,7659
Segmented,400,23,73.7131,38680,5341
Segmented,400,24,74.8335,33050,4333
Segmented,400,25,73.1192,30009,4274
Segmented,400,26,73.9539,29837,4497
Segmented,400,27,66.1744,30449,4903
Segmented,400,28,73.6708,29612,4611
Segmented,400,29,72.2835,28816,4856
Segmented,2500,0,0.091288,0,0
Segmented,2500,1,0.084417,0,0
Segmented,2500,2,0.112379,0,0
Segmented,2500,3,0.102956,0,0
Segmented,2500,4,0.059541,0,0
Segmented,2500,5,0.063494,0,0
Segmented,2500,6,0.06717,0,0
Segmented,2500,7,0.096085,0,0
Segmented,2500,8,0.070959,0,0
Segmented,2500,9,0.085794,0,0
Segmented,2500,10,0.13075,0,0
Segmented,2500,11,78.8189,208108,14649
Segmented,2500,12,74.0474,347535,31831
Segmented,2500,13,73.4056,417291,42907
Segmented,2500,14,66.5217,486305,53452
Segmented,2500,15,66.7504,579422,70538
Segmented,2500,16,65.4241,669503,83279
Segmented,2500,17,63.647,692034,88535
Segmented,2500,18,61.8917,674462,87812
Segmented,2500,19,64.0026,662959,88362
Segmented,2500,20,59.1898,646091,84164
Segmented,2500,21,64.371,607494,77007
Segmented,2500,22,62.7696,573640,71550
Segmented,2500,23,66.601,563378,68831
Segmented,2500,24,81.7212,565617,68755
Segmented,2500,25,59.796,589555,71095
Segmented,2500,26,69.9083,620080,74323
Segmented,2500,27,61.1471,643001,77059
Segmented,2500,28,71.334,654268,80535
Segmented,2500,29,66.5649,670525,83262
Segmented,10000,0,0.07875,0,0
Segmented,10000,1,0.064541,0,0
Segmented,10000,2,0.094083,0,0
Segmented,10000,3,0.065169,0,0
Segmented,10000,4,0.064459,0,0
Segmented,10000,5,0.065335,0,0
Segmented,10000,6,0.098871,0,0
Segmented,10000,7,0.066959,0,0
Segmented,10000,8,0.070122,0,0
Segmented,10000,9,0.067209,0,0
Segmented,10000,10,0.06221,0,0
Segmented,10000,11,67.866,1977218,53898
Segmented,10000,12,69.317,3323409,124379
Segmented,10000,13,77.1737,4279276,196409
Segmented,10000,14,79.3385,5149893,276904
Segmented,10000,15,84.0078,5947017,366381
