frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,mesh_upload,render_total,scene_draw,debug_draw,imgui_draw
0,0.316165,86.6106,11.5459,0,0,74.0851,2.66846,36.6557,33.8641,0.006455,0.002001,0.36054,0.190292,0.191458,9.18242,8.36925,0.791375,0.723084
1,0.478047,92.0101,10.8684,0,0,85.9371,0,42.5186,42.5119,0.006709,0.003378,0.331251,0.236708,0.27775,5.31175,5.27842,0.0035,0.083167
2,0.576217,84.9435,11.7725,0,0,80.3746,0,37.8863,41.6892,0.004874,0.002164,0.272793,0.231583,0.034375,4.14446,4.12188,0.003375,0.050917
3,0.67142,85.4998,11.6959,0,0,80.0648,0,40.6768,38.611,0.003085,0.001539,0.235001,0.232667,0.036291,5.00913,4.9895,0.002292,0.043208
4,0.760708,85.5048,11.6953,0,0,80.8036,0,38.4595,41.5215,0.017709,0.001961,0.261337,0.247291,0.031625,4.24633,4.22321,0.002667,0.071917
5,0.852318,90.1007,11.0987,0,0,85.1535,0,43.6412,40.684,0.004209,0.001709,0.242043,0.250709,0.037209,4.45242,4.42992,0.004042,0.054541
6,0.945216,85.7635,11.66,0,0,80.382,0,39.9491,39.5841,0.002998,0.001299,0.231707,0.251959,0.038625,4.82317,4.79379,0.004,0.053167
7,1.03787,162.976,6.13589,37858,417,157.094,0,41.983,39.3182,39.6651,35.2212,0.249417,0.251042,0.042125,5.30521,4.75396,0.525917,0.060917
8,1.20891,206.939,4.83234,55464,441,203.297,0,48.2389,51.7033,50.9372,51.518,0.285253,0.265667,0.037208,3.19646,3.1575,0.015375,0.03625
9,1.41701,106.143,9.42123,60773,588,102.721,0,26.82,28.1285,21.9601,25.1112,0.198088,0.199708,0.030208,2.9845,2.95767,0.011875,0.035583
10,1.52515,106.785,9.36461,62054,764,103.367,0.948666,29.6722,26.8194,21.779,23.5141,0.168412,0.1905,0.026625,3.05938,3.03421,0.010333,0.034
11,1.63843,104.729,9.54845,63483,795,101.38,0,26.3662,27.1831,22.8587,24.3315,0.170756,0.199834,0.02875,2.97342,2.94671,0.012083,0.032917
12,1.74515,105.615,9.46838,64669,767,102.224,0,26.917,29.1731,22.0574,23.4012,0.208293,0.189292,0.028417,3.02404,2.9965,0.01175,0.031458
13,1.85263,108.145,9.24686,67114,875,104.677,0,27.1349,27.4278,25.147,24.2707,0.178375,0.2035,0.0355,3.01867,2.98483,0.014167,0.043083
14,1.96184,137.428,7.27653,69561,1044,134.013,0,33.2722,35.4826,30.4485,33.9876,0.24675,0.250417,0.035125,2.96821,2.93896,0.012,0.031375
15,2.10036,108.415,9.22378,77271,759,105.018,0,29.8545,28.2538,22.8615,23.3775,0.179291,0.19825,0.029667,2.97383,2.94604,0.0125,0.037417
16,2.2098,106.873,9.35688,91433,1015,103.637,0,27.1226,27.2612,24.8211,23.7925,0.169041,0.183542,0.027,2.82896,2.80896,0.007875,0.029458
17,2.31851,105.582,9.47127,91981,1073,102.416,0,28.6968,27.7666,22.5105,22.8115,0.169671,0.197459,0.022458,2.83504,2.81537,0.010291,0.025416
18,2.42582,107.205,9.3279,111216,1172,103.811,0,28.9655,27.6186,23.0787,23.4907,0.194044,0.192416,0.0305,3.01617,2.98708,0.011542,0.03725
19,2.53496,111.996,8.92892,292251,2983,108.653,0,26.6033,30.162,26.6738,24.5793,0.17046,0.195125,0.028709,2.97408,2.94963,0.009375,0.034791
20,2.64882,118.307,8.4526,460839,4435,114.998,0.934083,27.1034,30.0137,32.506,23.7987,0.172416,0.195958,0.0275,2.94596,2.92071,0.010125,0.03225
21,2.76902,134.826,7.41699,881456,7683,131.554,0,26.8339,27.2149,47.9655,28.8569,0.193371,0.199666,0.027666,2.90946,2.88446,0.009167,0.030333
22,2.90585,198.202,5.04536,1205905,10407,193.681,0,33.859,36.7165,81.6249,40.4907,0.280998,0.289875,0.044959,4.00054,3.96321,0.01525,0.048625
23,3.10851,138.477,7.22142,1205463,11981,134.979,0,30.2326,29.6176,45.2255,29.1925,0.177962,0.202458,0.027416,2.99854,2.97417,0.010875,0.033875
24,3.25447,151.144,6.61622,1558820,15838,147.788,0,31.5165,29.1465,52.7715,33.6381,0.201953,0.203625,0.0265,2.90658,2.88271,0.009708,0.032167
25,3.4075,132.923,7.52318,1967355,19626,128.538,0,26.4859,27.2326,45.9428,28.1815,0.208337,0.199917,0.0305,4.00554,3.97504,0.0145,0.038708
26,3.54231,135.217,7.39553,2144528,21861,131.947,0,27.5507,29.0402,45.9905,28.7097,0.174545,0.196584,0.027542,2.90079,2.86592,0.019167,0.041083
27,3.67932,131.54,7.60225,1832913,18705,128.238,0,26.8696,28.1635,43.8955,28.6171,0.200337,0.204541,0.030458,2.92621,2.894,0.015333,0.038375
28,3.81193,133.638,7.4829,1438104,13373,130.266,0,29.2854,27.2924,45.2344,27.7645,0.175628,0.2,0.029875,2.92283,2.88888,0.018417,0.041458
29,3.9476,143.78,6.95506,1213537,12159,140.515,0,28.3611,28.6472,51.1736,31.6506,0.198454,0.197791,0.027791,2.90888,2.87958,0.012583,0.034709
