frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,mesh_upload,render_total,scene_draw,debug_draw,imgui_draw
0,0.3284,85.3552,11.7158,0,0,73.513,2.59538,34.9238,35.0801,0.006585,0.001666,0.353543,0.187958,0.154667,8.77242,8.10329,0.649875,0.633875
1,0.482714,87.5544,11.4215,0,0,79.4761,0,39.3538,39.2797,0.008003,0.003961,0.307209,0.225167,0.245208,7.35396,7.32575,0.004375,0.090375
2,0.577474,89.1995,11.2108,0,0,84.5403,0,39.8334,43.7697,0.007671,0.003252,0.317166,0.225166,0.052625,4.1595,4.131,0.003625,0.058084
3,0.670704,84.749,11.7995,0,0,80.1568,0,39.059,40.3197,0.003292,0.001165,0.232039,0.246583,0.035083,4.16,4.14046,0.002708,0.045166
4,0.76392,87.5195,11.426,0,0,82.6019,0,42.3343,39.4442,0.004371,0.002084,0.264373,0.241834,0.039167,4.43333,4.41154,0.003417,0.071667
5,0.854877,89.3656,11.19,0,0,84.197,0,39.4709,43.9041,0.003542,0.001166,0.269537,0.22575,0.042667,4.59621,4.57033,0.003875,0.053708
6,0.949731,87.3886,11.4431,0,0,82.2411,0,41.078,40.3254,0.004126,0.003167,0.239124,0.247417,0.038959,4.62158,4.59337,0.003291,0.067542
7,1.04121,165.734,6.03377,37858,417,160.806,0,49.1389,38.7921,38.142,33.8105,0.288166,0.227542,0.040375,4.38075,3.89,0.46525,0.054958
8,1.21568,180.615,5.53663,55218,429,176.799,0,42.586,38.8293,47.8572,46.5773,0.316837,0.254833,0.038875,3.32463,3.28292,0.019458,0.044917
9,1.39861,107.018,9.34421,59061,591,103.679,0,27.0655,27.5915,22.4302,25.8638,0.234246,0.190542,0.0315,2.91558,2.87875,0.018416,0.03875
10,1.50751,106.652,9.3763,61713,732,103.327,0.928041,30.0058,26.6915,21.5463,23.4547,0.212545,0.186166,0.032541,2.89438,2.85633,0.014541,0.042958
11,1.61624,103.505,9.66138,63490,690,100.134,0,25.9816,26.8239,21.6728,24.9634,0.201579,0.19175,0.0295,2.96913,2.93467,0.016791,0.036167
12,1.72163,106.15,9.42068,66049,693,102.882,0,27.5987,29.396,21.9635,23.1182,0.235625,0.264375,0.028958,2.87242,2.84313,0.012166,0.037791
13,1.8296,104.188,9.59806,69164,765,100.865,0,26.1327,28.7207,22.0645,23.256,0.194085,0.1945,0.032083,2.89354,2.85879,0.014958,0.040667
14,1.93567,119.442,8.3723,75812,923,115.607,0,28.8703,30.652,29.5818,25.774,0.216123,0.20975,0.032417,3.41521,3.36971,0.026083,0.039834
15,2.05757,187.489,5.33365,83661,907,181.197,0,46.037,45.3142,54.5556,33.7965,0.421713,0.281792,0.141459,5.04567,4.91946,0.076292,0.139292
16,2.24957,254.261,3.93296,88211,992,249.589,0,59.0797,61.4893,61.7389,62.7451,0.796795,3.10104,0.052541,3.98937,3.94583,0.015583,0.05075
17,2.50522,119.272,8.38417,96894,919,115.841,0,30.6845,32.7278,25.0983,26.6589,0.18459,0.19325,0.032792,2.96913,2.93779,0.014291,0.037958
18,2.62997,105.439,9.48418,106330,1012,102.116,0,27.2057,27.016,22.4835,24.7517,0.195212,0.195834,0.025334,2.96638,2.94346,0.008084,0.031292
19,2.73731,112.601,8.88094,273571,2868,109.32,0,28.083,28.8257,28.7068,23.061,0.170583,0.198333,0.03025,2.90088,2.87471,0.009458,0.0345
20,2.85233,127.813,7.82391,478797,4483,124.269,1.03517,29.2503,27.1498,39.7426,26.3941,0.195254,0.198958,0.030834,3.15062,3.12517,0.00925,0.036666
21,2.98393,320.133,3.1237,911318,7664,313.035,0,53.7281,50.9613,139.51,66.1095,1.11775,0.53825,0.139833,5.48708,5.35258,0.057125,0.213833
22,3.31594,431.791,2.31594,1455214,12398,424.259,0,87.7154,71.5636,178.707,83.2828,1.17009,0.659959,0.1415,5.832,5.69113,0.079416,0.159833
23,3.75346,401.026,2.4936,1768319,16664,388.589,0,73.7423,71.8768,156.217,83.7736,1.13671,0.617875,0.176917,10.8677,10.7076,0.099042,0.150916
24,4.16006,349.197,2.86371,1926758,19259,341.459,0,56.015,54.8768,154.537,72.7438,1.15983,0.609,0.165542,5.69717,5.55946,0.066542,0.214458
25,4.51485,392.807,2.54578,1996355,20780,385.589,0,73.8877,70.366,150.722,87.5374,1.21297,0.634166,0.131959,5.72892,5.60942,0.06175,0.136209
26,4.91524,418.774,2.38792,1951982,19657,411.57,0,72.187,65.2744,185.341,85.7384,0.98271,0.609166,0.188458,5.32583,5.20346,0.061041,0.107458
27,5.33916,422.326,2.36784,1855789,18167,414.497,0,78.1306,81.8853,162.171,88.0695,1.68767,0.622667,0.124459,5.8175,5.54454,0.210542,0.209583
28,5.76719,392.743,2.54619,1647517,16319,385.461,0,76.4585,65.6778,158.876,81.735,0.970669,0.584166,0.144167,5.79633,5.61446,0.11225,0.202916
29,6.168,403.989,2.47532,1261504,12832,395.713,0,76.4044,71.8614,161.099,83.1958,1.22458,0.625666,0.147667,6.801,6.63504,0.086417,0.14525
