frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,mesh_upload,render_total,scene_draw,debug_draw,imgui_draw
0,0.299942,61.1129,16.3632,0,0,49.5224,2.04317,29.911,16.7577,0.006999,0.002337,0.325255,0.178792,0.118459,8.58171,8.02283,0.53975,0.636583
1,0.370236,45.56,21.9491,0,0,41.882,0,25.6693,15.5049,0.00254,0.00146,0.258455,0.181125,0.165375,3.14237,3.12704,0.002208,0.061792
2,0.419038,44.8248,22.3091,0,0,41.6072,0,25.4595,15.4568,0.001919,0.001374,0.242626,0.180375,0.026708,2.87083,2.85371,0.001958,0.034417
3,0.465894,44.5005,22.4716,0,0,41.3566,0,25.2497,15.4082,0.002457,0.001378,0.254042,0.181083,0.023792,2.80863,2.79583,0.001625,0.030084
4,0.512556,44.5548,22.4443,0,0,41.3901,0,25.1573,15.5409,0.002463,0.000919,0.249751,0.178834,0.022667,2.80271,2.78921,0.002541,0.0555
5,0.558786,44.4739,22.4851,0,0,41.311,0,25.1403,15.487,0.001836,0.001165,0.235879,0.181708,0.025667,2.80717,2.79,0.002,0.035541
6,0.604125,45.1075,22.1693,0,0,41.9062,0,25.7277,15.4903,0.001877,0.001169,0.231544,0.181209,0.022875,2.83996,2.82717,0.001542,0.032709
7,0.651005,77.2883,12.9386,37858,417,73.9136,0,25.6605,15.4385,15.0785,17.059,0.19521,0.180833,0.025292,3.02458,2.76054,0.257,0.029209
8,0.72947,87.051,11.4875,55222,429,83.8173,0,25.6362,15.5222,20.5196,21.498,0.180749,0.17975,0.028541,2.826,2.79658,0.013083,0.036333
9,0.818328,87.0554,11.4869,59098,577,83.8615,0,25.5567,15.437,20.9879,21.2297,0.199751,0.180791,0.025625,2.84667,2.82183,0.01175,0.031208
10,0.907125,87.3202,11.4521,60120,766,84.1781,0.70175,25.2633,15.443,20.7815,21.3755,0.164958,0.182334,0.021917,2.81487,2.791,0.014208,0.031958
11,0.996002,86.2205,11.5982,60485,656,83.1093,0,25.3795,15.3411,20.6582,21.1181,0.163459,0.177709,0.018084,2.76121,2.74221,0.010459,0.024667
12,1.08344,87.3667,11.446,60743,634,84.1314,0,25.8711,15.3457,20.9068,21.343,0.18675,0.185042,0.032834,2.82433,2.79417,0.013084,0.031042
13,1.17171,87.517,11.4264,64852,662,84.3188,0,25.7275,15.5728,21.2565,21.1302,0.168749,0.183625,0.0235,2.81425,2.79033,0.011834,0.029375
14,1.261,87.4217,11.4388,71221,714,84.2305,0,25.3156,15.4823,21.3611,21.4542,0.16883,0.181208,0.02675,2.83346,2.80754,0.013083,0.037042
15,1.35026,87.1118,11.4795,76554,691,83.9488,0,25.406,15.3801,21.5466,20.9972,0.166584,0.183083,0.025458,2.80067,2.77525,0.012292,0.030917
16,1.43821,87.2447,11.462,82466,774,84.1917,0,25.7426,15.3964,21.3519,21.0824,0.163416,0.179667,0.018958,2.70162,2.68079,0.012959,0.026417
17,1.52715,87.3305,11.4508,87541,913,84.1776,0,25.2732,15.292,21.2019,21.783,0.184253,0.180959,0.025667,2.814,2.79137,0.01025,0.031458
18,1.61622,86.886,11.5093,90895,1056,83.7315,0,25.23,15.3621,20.8947,21.6284,0.172417,0.17825,0.024292,2.81542,2.79046,0.0135,0.032625
19,1.70403,95.076,10.5179,230155,2315,91.8708,0,25.5754,15.3804,28.1756,22.1021,0.174328,0.181417,0.02525,2.8165,2.79317,0.009459,0.032375
20,1.80001,103.089,9.7004,432133,3881,99.7572,1.28767,25.3387,15.494,34.3548,22.6298,0.194291,0.18325,0.026333,2.92937,2.90713,0.008625,0.030916
21,1.90508,119.763,8.34986,883450,7137,116.302,0,25.6181,15.3385,49.4629,25.2526,0.167706,0.180667,0.032375,3.06596,3.03808,0.011167,0.036917
22,2.02667,124.513,8.03126,1489237,12378,121.047,0,25.22,15.2313,53.8167,26.1465,0.169999,0.185584,0.02775,3.10004,3.07317,0.010625,0.032583
23,2.15311,109.653,9.11968,1827715,16912,106.537,0,23.7809,15.2675,42.6408,24.1731,0.196291,0.172333,0.028458,2.72729,2.697,0.015083,0.043833
24,2.26448,107.559,9.29724,1933170,19521,104.361,0,23.3751,15.4186,40.8149,24.0548,0.225918,0.176,0.034583,2.76313,2.72525,0.015666,0.043375
25,2.37382,104.629,9.5576,2016111,21083,101.465,0,23.407,15.3245,38.8963,23.1358,0.226752,0.176334,0.031375,2.74183,2.70763,0.015542,0.042709
26,2.48027,110.381,9.05953,2242996,22149,107.107,0,23.6733,15.4414,43.4539,23.8536,0.19992,0.172042,0.033792,2.8475,2.81171,0.0165,0.040208
27,2.59248,109.974,9.09308,2042479,20404,106.727,0,23.5763,15.1332,43.3125,24.0463,0.186713,0.177291,0.034042,2.83167,2.79404,0.020584,0.044334
28,2.70423,109.28,9.15084,1754083,17649,106.196,0,23.368,14.8642,44.3895,22.9104,0.196962,0.176833,0.030125,2.69762,2.67,0.014041,0.037542
29,2.81532,107.299,9.31973,1315674,13620,104.124,0,23.7621,14.8159,42.388,22.5151,0.182835,0.170959,0.026708,2.77813,2.74613,0.017042,0.039667
