frame_sequence,wall_time_seconds,frame_ms,fps,broad_collisions,narrow_collisions,physics_total,bvh_build,broad_refit,broad_enlarge_trajectory,broad_detect,narrow_phase,system_update,metal_commit,mesh_upload,render_total,scene_draw,debug_draw,imgui_draw
0,0.328731,87.877,11.3795,0,0,76.1359,2.55112,37.7462,34.9877,0.006376,0.001625,0.366292,0.177125,0.135,8.55504,7.8745,0.662708,0.674875
1,0.489134,96.0176,10.4148,0,0,90.5895,0,44.182,42.8381,0.006334,0.00304,0.336671,2.85183,0.28,4.64267,4.61242,0.00325,0.085125
2,0.587986,94.9829,10.5282,0,0,87.5899,0,43.2551,43.431,0.005791,0.003042,0.281787,0.238709,0.048458,6.84187,6.81412,0.004792,0.060416
3,0.689654,99.0146,10.0995,0,0,93.7234,0,49.9121,42.8517,0.010457,0.005174,0.353084,0.235833,0.053958,4.72404,4.688,0.006042,0.074042
4,0.797957,96.1577,10.3996,0,0,90.7722,0,41.996,47.9183,0.003878,0.0025,0.267621,0.250583,0.03775,4.85892,4.8335,0.0035,0.084375
5,0.900386,95.2609,10.4975,0,0,89.76,0,47.4257,41.4213,0.00733,0.002708,0.318583,0.241708,0.050167,5.01487,4.98404,0.003375,0.052708
6,1.00084,89.0415,11.2307,0,0,84.0125,0,42.2412,40.9635,0.002709,0.002124,0.219914,0.248167,0.037583,4.53821,4.51438,0.004333,0.067625
7,1.09702,153.536,6.51315,37858,417,149.386,0,45.0898,39.4541,33.139,30.827,0.262162,0.261084,0.039458,3.66817,3.22637,0.422417,0.04925
8,1.25694,113.109,8.84102,55222,429,109.641,0,30.8298,28.9847,24.078,25.0466,0.221208,0.194042,0.029833,3.06329,3.03233,0.016791,0.039959
9,1.37193,106.451,9.39397,58881,588,103.138,0,28.5703,26.8938,24.2816,22.7387,0.20075,0.182916,0.028958,2.93171,2.89925,0.016291,0.039542
10,1.48028,106.182,9.41775,60097,769,102.905,0.935833,28.2051,28.7881,21.7157,22.6267,0.172123,0.182833,0.027083,2.92217,2.89562,0.011875,0.034959
11,1.5883,105.716,9.45931,60749,674,102.297,0,27.5322,29.8161,21.7693,22.5375,0.172712,0.197542,0.029334,3.04092,3.01179,0.012625,0.038167
12,1.6959,103.177,9.69208,60510,635,99.3666,0,26.5016,26.8545,21.7614,23.6034,0.190086,0.184083,0.028833,3.42904,3.38142,0.033417,0.048583
13,1.80333,130.282,7.67568,64623,695,126.657,0,30.2777,32.1265,31.5392,31.9057,0.233999,0.252041,0.039083,3.2045,3.17158,0.0145,0.035541
14,1.93563,106.925,9.35233,70762,698,103.525,0,27.8074,27.7899,22.2975,24.997,0.175752,0.184167,0.032208,3.01633,2.98571,0.013583,0.038333
15,2.04446,109.707,9.11517,76911,711,106.232,0,26.4019,28.2304,23.2666,24.9053,0.202662,2.90883,0.030666,3.07692,3.046,0.013167,0.039584
16,2.15516,108.687,9.20069,83709,818,104.961,0,29.6938,29.3392,22.0914,23.1709,0.18746,0.184458,0.030417,3.28213,3.25529,0.010875,0.038709
17,2.26674,107.25,9.32397,94005,1014,103.979,0,27.4422,29.278,22.639,23.969,0.16821,0.190958,0.028833,2.85192,2.82354,0.014458,0.035584
18,2.37504,108.336,9.23058,101961,1089,104.336,0,31.2579,27.0708,22.3689,22.9625,0.194712,0.188583,0.028167,3.58146,3.55925,0.008333,0.032459
19,2.48531,119.898,8.34044,262296,2399,116.57,0,27.6914,28.0029,32.9878,27.2187,0.183459,0.198375,0.03375,2.94721,2.91858,0.010584,0.0345
20,2.60697,130.268,7.67649,488621,4419,126.842,0.992791,28.5657,26.6528,43.0022,26.9851,0.167624,0.194208,0.028875,3.05671,3.02921,0.011,0.032
21,2.73917,159.648,6.26379,965615,7728,155.062,0,28.5245,35.1319,59.2544,31.201,0.256127,0.239042,0.044333,3.98129,3.94492,0.013542,0.054334
22,2.90294,186.084,5.37393,1487838,12417,182.663,0,36.7872,32.7868,74.1667,38.187,0.229747,0.201208,0.034542,3.02279,2.99437,0.011584,0.033708
23,3.09069,135.697,7.36935,1691040,14981,132.287,0,26.7063,26.904,46.2216,31.8009,0.172712,0.198791,0.027166,3.00517,2.97058,0.017958,0.041084
24,3.23578,143.932,6.94771,1755893,17101,140.572,0,29.0056,30.9195,48.5326,31.4482,0.187917,0.19325,0.028208,3.00571,2.97812,0.011875,0.03425
25,3.38355,145.044,6.89448,2108495,20728,141.704,0,27.4879,28.8295,56.2436,28.4982,0.172458,0.19275,0.027083,2.98225,2.955,0.011042,0.032958
26,3.53289,143.985,6.94516,2155036,21492,140.337,0,28.1196,29.7721,48.7375,32.9391,0.193124,0.210041,0.035458,3.14554,3.10071,0.023417,0.05
27,3.68076,275.129,3.63465,1829834,18016,264.027,0,44.136,42.4711,117.781,57.4332,0.666038,0.521042,0.198542,9.59842,9.45767,0.08275,0.146458
28,3.96395,440.787,2.26867,1463838,13809,433.901,0,83.9215,73.4116,177.695,95.326,1.69329,0.617083,0.154,5.43333,5.31308,0.053791,0.112084
29,4.41361,404.917,2.46964,1124610,10806,396.986,0,76.0164,73.8576,159.524,84.4608,1.46191,0.567417,0.074167,6.7995,6.71129,0.052292,0.102208
