variant,particle1d,num_prims,split_s,num_groups,settle_frames,detect_us_per_call,broad_collisions
single,50,4802,0,1,20,406.39,17459
multi,50,4802,1,4,20,474.319,17459
multi,50,4802,2,16,20,412.203,17459
multi,50,4802,3,49,20,398.149,17459
multi,50,4802,4,169,20,404.653,17459
multi,50,4802,5,625,20,395.435,17459
multi,50,4802,6,2401,20,381.951,17459
multi,50,4802,7,2401,20,401.143,17459
multi,50,4802,8,2401,20,391.647,17459
multi,50,4802,9,2401,20,389.153,17459
multi,50,4802,10,2401,20,382.172,17459
multi,50,4802,11,2401,20,384.914,17459
multi,50,4802,12,2401,20,446.718,17459
multi,50,4802,13,2401,20,395.3,17459
multi,50,4802,14,2401,20,392.189,17459
multi,50,4802,15,2401,20,382.786,17459
multi,50,4802,16,2401,20,387.006,17459
single,100,19602,0,1,20,811.757,193673
multi,100,19602,1,4,20,847.707,193673
multi,100,19602,2,16,20,851.86,193673
multi,100,19602,3,64,20,818.311,193673
multi,100,19602,4,225,20,813.982,193673
multi,100,19602,5,625,20,802.119,193673
multi,100,19602,6,2500,20,796.986,193673
multi,100,19602,7,9801,20,789.658,193673
multi,100,19602,8,9801,20,778.678,193673
multi,100,19602,9,9801,20,786.343,193673
multi,100,19602,10,9801,20,796.824,193673
multi,100,19602,11,9801,20,834.415,193673
multi,100,19602,12,9801,20,779.964,193673
multi,100,19602,13,9801,20,781.565,193673
multi,100,19602,14,9801,20,787.117,193673
multi,100,19602,15,9801,20,793.717,193673
multi,100,19602,16,9801,20,841.092,193673
single,200,79202,0,1,20,0.0805667,0
multi,200,79202,1,4,20,0.0166667,0
multi,200,79202,2,16,20,0.0194667,0
multi,200,79202,3,64,20,0.0152667,0
multi,200,79202,4,256,20,0.0139,0
multi,200,79202,5,841,20,0.0138667,0
multi,200,79202,6,2500,20,0.0139,0
multi,200,79202,7,10000,20,0.0139,0
multi,200,79202,8,39601,20,0.0139,0
multi,200,79202,9,39601,20,0.0139,0
multi,200,79202,10,39601,20,0.0138667,0
multi,200,79202,11,39601,20,0.0180333,0
multi,200,79202,12,39601,20,0.0166667,0
multi,200,79202,13,39601,20,0.0166667,0
multi,200,79202,14,39601,20,0.0153,0
multi,200,79202,15,39601,20,0.0139,0
multi,200,79202,16,39601,20,0.0152667,0
