variant,particle1d,num_prims,split_s,num_groups,sub_nodes,settle_frames,refitswept_us_per_call,refitswept_ms_per_frame,combine_us_amortized
single,32,1922,0,1,3843,20,206.517,12.391,20.7231
multi,32,1922,1,4,3840,20,201.398,12.0839,20.2644
multi,32,1922,2,16,3828,20,222.978,13.3787,19.1765
multi,32,1922,3,64,3780,20,197.009,11.8205,16.5162
multi,32,1922,4,256,3588,20,188.07,11.2842,11.8523
multi,32,1922,5,961,2883,20,162.632,9.75793,6.95458
multi,32,1922,6,961,2883,20,159.038,9.54228,6.70208
multi,32,1922,7,961,2883,20,160,9.59997,6.53416
multi,32,1922,8,961,2883,20,157.707,9.46242,6.60834
multi,32,1922,9,961,2883,20,156.38,9.3828,6.74375
multi,32,1922,10,961,2883,20,171.99,10.3194,6.71104
multi,32,1922,11,961,2883,20,156.692,9.4015,6.68334
multi,32,1922,12,961,2883,20,149.341,8.96045,6.68334
multi,32,1922,13,961,2883,20,138.832,8.3299,6.85729
multi,32,1922,14,961,2883,20,153.451,9.20705,6.69541
multi,32,1922,15,961,2883,20,157.662,9.45972,6.46958
multi,32,1922,16,961,2883,20,148.755,8.92533,6.40958
single,100,19602,0,1,39203,20,243.276,14.5966,36.9081
multi,100,19602,1,4,39200,20,247.164,14.8298,36.1063
multi,100,19602,2,16,39188,20,245.755,14.7453,35.2173
multi,100,19602,3,64,39140,20,247.123,14.8274,33.2687
multi,100,19602,4,225,38979,20,241.146,14.4687,31.5015
multi,100,19602,5,625,38579,20,241.413,14.4848,28.9979
multi,100,19602,6,2500,36704,20,231.675,13.9005,21.6946
multi,100,19602,7,9801,29403,20,221.845,13.3107,12.0331
multi,100,19602,8,9801,29403,20,242.147,14.5288,11.9473
multi,100,19602,9,9801,29403,20,219.706,13.1824,11.9319
multi,100,19602,10,9801,29403,20,219.22,13.1532,11.9654
multi,100,19602,11,9801,29403,20,215.433,12.926,11.9102
multi,100,19602,12,9801,29403,20,217.289,13.0373,11.8456
multi,100,19602,13,9801,29403,20,222.408,13.3445,11.8087
multi,100,19602,14,9801,29403,20,221.839,13.3103,11.7319
multi,100,19602,15,9801,29403,20,220.365,13.2219,11.6798
multi,100,19602,16,9801,29403,20,237.498,14.2499,11.9865
single,200,79202,0,1,158403,20,454.25,27.255,193.584
multi,200,79202,1,4,158400,20,434.161,26.0497,116.344
multi,200,79202,2,16,158388,20,434.442,26.0665,116.117
multi,200,79202,3,64,158340,20,464.61,27.8766,116.97
multi,200,79202,4,256,158148,20,462.36,27.7416,119.816
multi,200,79202,5,841,157563,20,490.024,29.4014,115.49
multi,200,79202,6,2500,155904,20,706.73,42.4038,124.067
multi,200,79202,7,10000,148404,20,452.084,27.125,105.234
multi,200,79202,8,39601,118803,20,417.085,25.0251,69.371
multi,200,79202,9,39601,118803,20,423.469,25.4082,70.9827
multi,200,79202,10,39601,118803,20,418.943,25.1366,74.6856
multi,200,79202,11,39601,118803,20,419.585,25.1751,78.0858
multi,200,79202,12,39601,118803,20,415.01,24.9006,73.0058
multi,200,79202,13,39601,118803,20,434.592,26.0755,74.9033
multi,200,79202,14,39601,118803,20,424.631,25.4779,74.6829
multi,200,79202,15,39601,118803,20,457.297,27.4378,73.1654
multi,200,79202,16,39601,118803,20,521.884,31.3131,73.7192
